W,Record.W.HomeTeam,Record.L.HomeTeam,HomeTeamNumber,OppTeamNumber,Local,OT,Tm.Score,Opp.Score,1stD.Off,TotYd.Off,PassY.Off,RushY.Off,TO.Off,1stD.Def,TotYd.Def,PassY.Def,RushY.Def,TO.Def,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Wild Card,Division,Conf. Champ.,Super Bowl,Thu,Sat,Sun,Mon
1,4,4,15,24,0,0,26,24,17,273,183,90,2,22,328,189,139,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,5,4,15,14,0,0,17,12,15,273,231,42,2,16,306,218,88,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,5,5,15,22,1,0,7,21,18,236,178,58,4,17,293,189,104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,6,5,15,27,1,0,16,10,16,338,179,159,1,11,244,158,86,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,7,5,15,22,0,0,20,13,18,323,199,124,1,19,279,173,106,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,8,5,15,13,1,0,23,17,20,275,135,140,2,17,236,165,71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,8,6,15,3,0,0,10,17,15,229,178,51,5,17,261,131,130,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,8,7,15,19,1,0,10,16,16,260,185,75,2,14,259,174,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,8,8,15,6,1,0,10,28,10,168,77,91,2,19,304,81,223,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,0,2,27,0,0,21,20,12,232,160,72,1,22,429,395,34,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2,0,2,15,1,0,28,26,25,425,274,151,2,17,261,180,81,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,1,2,12,0,0,27,33,26,514,406,108,1,15,265,177,88,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3,1,2,13,1,0,27,10,21,340,225,115,0,20,321,206,115,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,4,1,2,14,0,0,30,29,25,429,262,167,1,24,477,395,82,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5,1,2,22,1,0,32,28,29,454,284,170,1,21,406,249,157,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,5,2,2,6,0,0,16,30,20,347,241,106,2,14,340,141,199,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,6,2,2,18,1,0,27,20,18,322,171,151,0,30,510,441,69,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,7,2,2,28,0,0,40,34,31,492,347,145,1,29,418,319,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,8,2,2,29,1,0,27,24,19,336,189,147,4,21,302,215,87,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,9,2,2,20,1,0,17,9,14,348,174,174,2,23,344,238,106,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,10,2,2,21,0,0,37,30,24,444,226,218,2,17,354,276,78,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,10,3,2,14,1,0,12,28,16,308,202,106,1,26,455,293,162,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,11,3,2,25,1,0,30,24,21,428,274,154,1,28,414,269,145,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,11,4,2,13,0,0,13,27,13,224,133,91,1,21,412,159,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,11,5,2,29,0,0,21,26,27,348,223,125,0,18,398,270,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,12,5,2,20,1,0,17,9,16,382,318,64,0,20,282,162,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,12,6,2,5,1,0,23,28,23,375,265,110,0,22,344,235,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,1,0,12,17,0,0,30,28,25,510,362,148,1,22,414,234,180,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,12,14,1,0,9,27,15,244,187,57,1,20,380,265,115,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2,1,12,2,1,0,33,27,15,265,177,88,1,26,514,406,108,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3,1,12,30,0,0,12,10,18,266,149,117,1,15,257,212,45,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,4,1,12,28,0,0,31,24,25,457,345,112,1,19,252,158,94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,5,1,12,8,1,0,13,6,18,326,222,104,0,11,226,151,75,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,6,1,12,10,1,0,36,25,24,424,273,151,0,16,252,235,17,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,7,1,12,13,0,0,31,9,28,510,373,137,1,10,237,197,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,7,2,12,18,0,0,9,26,18,310,258,52,0,24,317,174,143,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,8,2,12,28,1,0,34,17,21,328,219,109,0,21,334,298,36,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,9,2,12,25,0,0,34,31,23,418,300,118,1,26,351,230,121,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,10,2,12,18,1,0,26,18,14,279,184,95,0,27,348,259,89,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,10,3,12,29,0,0,46,48,28,465,349,116,1,25,516,354,162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,11,3,12,24,0,0,34,7,27,424,307,117,0,16,205,159,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,12,3,12,16,1,0,38,28,23,377,275,102,0,17,397,248,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,13,3,12,25,1,0,42,10,25,379,264,115,0,16,329,288,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,13,4,12,21,0,0,20,26,19,324,227,97,2,22,362,226,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,0,29,28,1,0,31,17,17,256,158,98,2,21,295,174,121,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2,0,29,27,1,0,41,17,27,571,312,259,1,14,316,291,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3,0,29,15,0,0,24,20,26,436,268,168,5,11,239,160,79,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,4,0,29,22,0,0,31,3,22,446,171,275,0,9,180,78,102,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,0,29,14,1,0,20,7,22,331,232,99,2,10,157,48,109,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,6,0,29,4,1,0,9,0,17,283,146,137,1,10,154,50,104,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,7,0,29,25,0,0,51,13,24,388,156,232,1,12,230,100,130,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,8,0,29,13,1,0,28,25,21,411,310,101,0,19,357,204,153,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,8,1,29,2,0,0,24,27,21,302,215,87,3,19,336,189,147,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,9,1,29,13,0,0,36,26,26,442,408,34,2,21,266,131,135,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,10,1,29,5,0,0,37,8,16,339,227,112,0,19,198,81,117,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,10,2,29,6,1,0,17,20,15,331,157,174,1,21,283,105,178,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,11,2,29,12,1,0,48,46,25,516,354,162,1,28,465,349,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,11,3,29,18,0,0,22,29,20,313,193,120,2,20,290,201,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,12,3,29,14,0,0,34,31,19,334,215,119,2,24,395,323,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,13,3,29,2,1,0,26,21,18,398,270,128,0,27,348,223,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,14,3,29,21,0,0,27,10,21,308,122,186,2,7,147,126,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,15,3,29,5,0,0,37,20,19,354,69,285,0,21,358,296,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,15,4,29,1,1,0,20,31,21,351,210,141,2,26,397,268,129,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,6,23,1,0,59,10,31,643,378,265,0,12,200,179,21,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2,0,6,13,0,0,23,17,26,440,258,182,0,15,349,329,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
